"alloc_method","adjusted","rerandomized","power.pvalue","power.rerand","power.ci","coverage","bias","segt1k","nsim","time_elapsed","modelno","method_name","trial_size","outcome_type","outcome_marginal_prevalence","prognostic_factor_number","prognostic_factor_type","prognostic_factor_prevalence","bT","bZ","alpha","prognostic_factor_effect_size","treatment_assignment_effect_size","entry_time_effect_size","allocation_ratio"
"CR","1","0"," 0.043114"," 0.000000"," 0.055090"," 0.944910","-0.000687"," 0.000000","5010","19.81","1","CR_REG_ADJ",32,"continuous",777,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"SBR","1","0"," 0.047904"," 0.000000"," 0.056088"," 0.943912"," 0.006259"," 0.000000","5010","25.24","1","SBR_REG_ADJ",32,"continuous",777,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","1","0"," 0.053094"," 0.000000"," 0.062675"," 0.937325"," 0.003225"," 0.000000","5010","73.16","1","CAA-MI-2-PBA-0.70_REG_ADJ",32,"continuous",777,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CR","0","0"," 0.046307"," 0.000000"," 0.054491"," 0.945509","-0.001762"," 0.000000","5010","16.4","1","CR_REG_UN",32,"continuous",777,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"SBR","0","0"," 0.046307"," 0.000000"," 0.055090"," 0.944910"," 0.007398"," 0.000000","5010","22.18","1","SBR_REG_UN",32,"continuous",777,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","0","0"," 0.051497"," 0.000000"," 0.061078"," 0.938922"," 0.002094"," 0.000000","5010","69.59","1","CAA-MI-2-PBA-0.70_REG_UN",32,"continuous",777,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","1","1"," 0.058283"," 0.066467"," 0.000000"," 1.000000"," 0.003225"," 0.000000","5010","72918.1","1","CAA-MI-2-PBA-0.70_RERAND_ADJ",32,"continuous",777,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
"CAA-MI-2-PBA-0.70","0","1"," 0.055489"," 0.060279"," 0.000000"," 1.000000"," 0.002094"," 0.000000","5010","70460.61","1","CAA-MI-2-PBA-0.70_RERAND_UN",32,"continuous",777,2,"binary",0.25,0,0,0.05,1.1,1,1,0.5
CR,1,0, 0.043114, 0.000000, 0.055090, 0.944910,-0.000687, 0.000000,5010,19.01,2,CR_REG_ADJ,32,continuous,777,2,binary,0.25,0,0,0.05,3,1,1,0.5
SBR,1,0, 0.047904, 0.000000, 0.056088, 0.943912, 0.006259, 0.000000,5010,24.75,2,SBR_REG_ADJ,32,continuous,777,2,binary,0.25,0,0,0.05,3,1,1,0.5
